setting,generation,count,count_std,avg_length,avg_length_std,vocab_size,vocab_size_std,perplexity,perplexity_std,bleu-4,bleu-4_std,meteor,meteor_std,rouge-l,rouge-l_std,cider,cider_std,spice,spice_std,clip_score,clip_score_std,clip_variance,clip_variance_std,rmg,rmg_std,l2m,l2m_std
recursive,0,200.0,0.0,8.4485,0.1297699888263846,322.8,8.44748483277715,3.4236106093525884,0.280858248885368,0.0835375383723008,0.0120489786609529,0.2896868718608111,0.0171296000188216,0.3424157790031097,0.0157806677292284,4.179014396807743,0.3847429812197521,0.1606331317939719,0.0112140326135754,0.2906005859375,0.0020133831953143,0.0012975692749023,0.0001061368821661,0.4199887685477081,0.0033078722485781,0.8521484375,0.0049833401649113
recursive,1,200.0,0.0,26.31,0.4889887524268836,401.8,9.019977827023745,7.372840024352074,0.1228909238116424,0.2854353294951688,0.0177353009404928,0.3745826812656493,0.0159920010075013,0.4987357359608135,0.0184877655306471,4.834543115580424,0.250784724264485,0.3651268852381272,0.0153908625003217,0.305810546875,0.0022724758355898,0.0013102531433105,5.701576814881968e-05,0.4683572702614696,0.0033081493212059,0.790478515625,0.0049864489984859
recursive,2,200.0,0.0,29.3935,0.1796253044534649,398.8,9.75499871860576,11.728971723556516,0.3707356310283074,0.3122915854254716,0.0175335521925277,0.4028261908295987,0.0071326986325298,0.4950345624303394,0.0130738636724928,4.686373596911393,0.1649795122962744,0.3597749848369016,0.0161438671615732,0.304248046875,0.0016801416537192,0.0012715339660644,0.0001101029698731,0.4613710467769933,0.0022157709589272,0.808056640625,0.0038351065363005
recursive,3,200.0,0.0,30.965000000000003,0.1234503948960876,399.4,6.296030495478877,12.195035974740982,0.4885006754346221,0.377036172577346,0.0169379191748552,0.4517426745891752,0.0103448989065055,0.5314058050853911,0.0084761569718843,4.983251516733084,0.2978132334081664,0.4172343353608127,0.0107983747181247,0.3045166015625,0.0009331794362117,0.0011826515197753,0.0001070721460946,0.4586835909827181,0.0030901869621853,0.8064453125,0.0045027897982025
recursive,4,200.0,0.0,29.176500000000004,0.2639038650721126,382.4,11.16422858956229,13.748558188199995,0.7112208117668566,0.3518214104607701,0.022652876771297,0.4145136827671548,0.0107597481311786,0.5176888117456399,0.0131905680020472,4.965800641114719,0.3059993212071988,0.3882340727993756,0.0183000170304595,0.3021728515625,0.0014568875730308,0.0012063026428222,0.0001042540519049,0.4601537985320935,0.0023404300324027,0.8017578125,0.003326052024595
recursive,5,200.0,0.0,28.4155,0.2178009412284531,440.7,10.392785959500946,inf,,0.3364698871476596,0.0152351716702216,0.4869261979779988,0.0162758352944842,0.4789841621163261,0.0147295354953269,4.421760841690232,0.278328845526646,0.3734975862488023,0.013115299093719,0.2973876953125,0.0015649775889196,0.0011952400207519,0.0001045577223795,0.4397762513109864,0.0028292926967077,0.830224609375,0.003466796875
recursive,6,200.0,0.0,28.257,0.1523023309079671,491.5,9.7082439194738,62.405864573478695,2.783830878501096,0.2330665929040004,0.0214704758312165,0.465902581858568,0.0150444221412637,0.4009813928870174,0.0154120776602416,3.983240797445824,0.1813983643872762,0.298244654048539,0.0149908121361459,0.2927001953125,0.0022888102213396,0.0012957572937011,0.0001123953228725,0.4418982480509574,0.0030082663047321,0.82109375,0.0041615772954418
recursive,7,200.0,0.0,28.243,0.1910654338178411,526.7,9.132907532653553,inf,,0.2223209614888622,0.0115675820111177,0.4766281600676798,0.0146758312427699,0.3925523178764776,0.0120503263392656,3.639692645733728,0.1518962847088945,0.2894610636470424,0.0106917541691127,0.280224609375,0.00185546875,0.0013892173767089,4.93632180873274e-05,0.4344170840054427,0.0018508734492722,0.838134765625,0.002197265625
recursive,8,200.0,0.0,27.658,0.1592827674294995,526.6,9.77957054271812,90.54100620269776,2.8137133067211435,0.2304551790809506,0.0111453533332297,0.4709275473927117,0.0095425842418617,0.3901480069338173,0.0113885715569874,3.8196306420238826,0.3091851845900665,0.2925684784658519,0.0096777851668324,0.277197265625,0.0024467714485092,0.0015292167663574,0.0001011850247395,0.4323877286926306,0.0018739205150122,0.837548828125,0.0024124256498116
recursive,9,200.0,0.0,27.916000000000004,0.132416011116481,520.5,8.651589449343975,103.42137400341036,3.2209650075673752,0.2273967124100092,0.0094482200105023,0.4813302086419286,0.0111051911509292,0.3968518061539783,0.0095701608127997,3.7716041324273375,0.1610495218614993,0.2955639074753109,0.0077476531804516,0.2752685546875,0.0022195323585579,0.0014664649963378,0.0001240239057123,0.4337354686277684,0.0022133070268808,0.834326171875,0.0028223332063707
recursive,10,200.0,0.0,28.1145,0.1159191528609491,489.1,9.438749917229504,113.61352650737764,5.338513772632291,0.2460839144389894,0.0199914156185382,0.4910031314126936,0.0119867998092052,0.4002398447757987,0.0174670074844054,3.924885294914034,0.1938881583799766,0.3038753734580565,0.0145469370261485,0.2708740234375,0.0026816600068149,0.0015878677368164,0.000144286228111,0.4277438583935531,0.0031000465999916,0.8416015625,0.0035694661879877
