gen,fid,is_mean,is_std,clip_score,rmg,l2m,clip_variance
0,205.23794555664062,4.866957664489746,0.572442889213562,0.60009765625,0.776474531666025,12.6328125,0.10284423828125
1,211.27024841308594,4.57806921005249,0.7044556736946106,0.6015625,0.7841704118194984,12.7734375,0.10174560546875
2,220.44737243652344,4.48752498626709,0.8308054804801941,0.60400390625,0.7871093110872012,12.7890625,0.10089111328125
3,222.96715799967447,4.422796090443929,0.803722600142161,0.6046549479166666,0.790222402321211,12.828125,0.09967041015625
4,225.48694356282553,4.3580671946207685,0.776639719804128,0.6053059895833334,0.7933354935552209,12.8671875,0.09844970703125
5,228.00672912597656,4.293338298797607,0.749556839466095,0.60595703125,0.7964485847892308,12.90625,0.09722900390625
6,230.67661666870117,4.193584561347961,0.6444554850459099,0.60595703125,0.7976303942141065,12.923828125,0.096710205078125
7,233.34650421142578,4.093830823898315,0.5393541306257248,0.60595703125,0.7988122036389824,12.94140625,0.09619140625
8,236.0163917541504,3.9940770864486694,0.4342527762055397,0.60595703125,0.7999940130638582,12.958984375,0.095672607421875
9,238.686279296875,3.8943233489990234,0.3291514217853546,0.60595703125,0.801175822488734,12.9765625,0.09515380859375
10,253.79595947265625,3.8784477710723877,0.5041802525520325,0.607421875,0.8057436618395202,13.0234375,0.0928955078125
